CodCliente,TotalPlan,Ubicacion,Genero,Edad,Antiguedad,Saldo,NoServicios,PagoApp,GamaAlta,TContrato,Churn
15703,738,Quetzaltenango,M,58,2,225,4,1,0,0,1
15620,813,Guatemala,M,29,6,275,1,1,0,1,0
15812,657,Escuintla,F,37,0,350.38,1,0,1,1,0
15779,604,Quetzaltenango,F,25,5,0,2,1,1,0,0
15770,519,Guatemala,M,36,9,499,2,0,1,1,0
15780,735,Guatemala,F,21,1,0,2,1,0,1,0
15614,664,Guatemala,M,55,8,0,2,1,1,1,0
15662,678,Guatemala,F,32,9,83.01,1,1,1,1,0
15575,757,Escuintla,M,33,5,48.51,1,0,1,1,0
15803,416,Quetzaltenango,F,41,10,0,2,1,0,1,0
15706,665,Guatemala,F,34,1,83.01,2,0,0,1,0
15663,777,Guatemala,F,32,2,350,1,1,0,1,1
15641,543,Guatemala,F,36,3,0,2,0,0,0,0
15701,506,Guatemala,F,34,4,234,1,1,1,0,0
15738,493,Guatemala,F,46,4,0,2,1,0,0,0
15805,652,Escuintla,F,75,10,275,2,1,1,1,0
15762,750,Escuintla,M,22,3,308.26,1,1,0,1,1
15625,729,Guatemala,M,30,9,148.67,2,1,0,1,0
15622,646,Guatemala,F,46,4,0,3,1,0,1,1
15767,635,Quetzaltenango,F,28,3,350,2,1,1,1,0
15757,647,Escuintla,F,44,5,83.01,3,1,1,1,1
15731,808,Guatemala,M,45,7,83.01,2,1,0,1,0
15809,524,Guatemala,F,36,10,83.01,2,1,0,1,0
15640,769,Guatemala,M,29,8,699.97,2,1,1,0,0
15676,730,Escuintla,M,42,4,0,2,0,1,0,0
15699,515,Escuintla,M,35,10,0.17,1,0,1,0,0
15738,773,Escuintla,M,41,9,0,1,0,1,1,0
15693,814,Quetzaltenango,M,29,8,0,2,1,1,1,0
15604,710,Escuintla,M,22,8,149,2,0,0,1,0
15633,413,Guatemala,M,34,9,230,2,0,0,0,0
15808,665,Guatemala,F,40,6,0,1,1,1,1,0
15743,623,Guatemala,F,44,6,0,2,0,0,1,0
15580,738,Guatemala,M,31,9,234,1,1,0,0,0
15776,528,Escuintla,M,36,7,608.13,2,1,0,1,0
15804,670,Escuintla,F,65,1,199.97,1,1,1,0,1
15613,622,Escuintla,F,46,4,349.67,2,1,1,1,1
15599,582,Quetzaltenango,M,32,1,383.01,1,1,1,1,0
15812,785,Quetzaltenango,F,36,2,49.86,1,0,1,1,0
15602,605,Escuintla,M,33,5,0,1,0,0,1,0
15744,479,Quetzaltenango,M,35,9,998.4,1,1,0,1,1
15803,685,Quetzaltenango,M,30,3,249.97,1,0,1,0,0
15665,538,Quetzaltenango,M,39,7,0,2,1,0,1,0
15715,562,Guatemala,M,42,2,199.97,1,0,0,0,0
15591,675,Escuintla,M,36,9,83.01,1,0,1,1,0
15609,721,Quetzaltenango,M,28,9,234,2,0,1,0,1
15675,628,Quetzaltenango,F,30,9,0,2,1,1,0,0
15705,668,Quetzaltenango,F,37,6,83.01,1,1,0,1,0
15698,506,Guatemala,F,41,1,30.13,2,1,0,1,0
15661,524,Quetzaltenango,F,31,8,308.26,1,1,0,1,1
15600,699,Quetzaltenango,M,34,4,0,2,1,0,0,0
15682,828,Guatemala,M,34,8,83.01,2,0,0,1,0
15580,674,Escuintla,M,39,6,275.01,1,0,0,1,0
15690,656,Guatemala,F,39,6,0,2,1,0,1,0
15760,684,Quetzaltenango,F,48,10,0,1,1,1,1,0
15779,625,Guatemala,F,28,3,0,1,0,0,1,0
15627,432,Guatemala,M,42,9,0,1,1,0,1,1
15671,549,Guatemala,F,52,1,0,1,0,1,1,1
15782,625,Quetzaltenango,M,56,0,83.01,1,1,0,1,1
15575,828,Guatemala,F,41,7,83.01,2,1,0,1,0
15591,770,Guatemala,M,24,9,99,1,1,0,1,0
15740,758,Guatemala,F,34,3,0,2,1,1,1,0
15718,795,Quetzaltenango,F,33,9,137.51,1,1,1,1,0
15677,687,Guatemala,M,38,9,91.73,1,1,1,1,0
15642,686,Guatemala,M,25,1,0.04,2,0,1,0,0
15712,789,Quetzaltenango,M,39,7,350,2,1,1,1,0
15584,589,Quetzaltenango,F,50,5,224.99,2,1,1,0,0
15802,461,Quetzaltenango,F,34,5,350,1,0,1,1,0
15610,637,Guatemala,M,40,2,83.01,1,0,1,1,0
15594,584,Escuintla,F,48,2,149,1,1,0,1,1
15640,579,Escuintla,F,35,1,0,2,0,1,1,1
15698,756,Quetzaltenango,M,44,10,0,1,1,0,1,0
15724,663,Guatemala,M,34,7,2345.16,2,1,1,1,0
15628,682,Guatemala,F,43,5,83.01,1,1,1,1,0
15713,793,Escuintla,M,52,2,399.97,1,1,0,0,1
15612,691,Guatemala,F,31,5,1,1,1,0,0,1
15800,485,Escuintla,F,21,5,0,1,1,1,1,0
15705,635,Escuintla,F,29,8,0,2,1,0,1,0
15754,650,Guatemala,M,37,5,149,1,0,0,1,0
15703,735,Guatemala,M,44,9,83.01,1,1,0,1,0
15794,416,Guatemala,M,32,0,289.38,2,0,1,1,0
15650,754,Escuintla,F,32,7,1213.32,2,1,0,1,0
15759,535,Guatemala,F,48,9,175.01,1,1,0,1,1
15811,716,Escuintla,M,42,8,0,2,1,0,1,0
15689,539,Guatemala,M,37,2,74.51,1,1,0,1,0
15709,614,Guatemala,F,43,6,91.73,2,1,1,1,0
15679,706,Escuintla,M,57,7,83.01,1,1,0,1,1
15655,758,Guatemala,F,33,7,225,2,0,0,0,0
15623,586,Escuintla,F,28,2,399,2,1,1,1,0
15589,646,Guatemala,F,73,6,0.06,1,0,1,0,0
15804,631,Quetzaltenango,F,33,4,0,1,0,0,0,0
15692,717,Escuintla,F,22,6,308.26,1,0,1,1,0
15641,684,Guatemala,M,30,2,83.01,2,1,0,1,0
15630,800,Guatemala,F,49,7,0,1,0,0,0,0
15680,721,Escuintla,F,36,2,149,2,1,1,1,0
15658,683,Escuintla,M,29,0,450,1,1,0,1,1
15585,660,Quetzaltenango,M,31,9,83.01,2,1,1,1,0
15724,704,Quetzaltenango,F,24,7,74.51,1,1,0,1,1
15588,615,Escuintla,F,41,9,599.97,1,1,0,0,0
15574,667,Escuintla,F,39,2,298.67,2,1,0,1,1
15611,682,Quetzaltenango,M,24,9,0,2,0,0,1,0
15587,484,Guatemala,F,29,4,83.01,1,1,0,1,0
15613,628,Quetzaltenango,M,27,5,659.98,2,1,0,1,0
15651,480,Quetzaltenango,M,44,10,48.51,1,1,0,1,1
15586,578,Guatemala,M,30,4,83.01,1,1,0,1,0
15625,512,Guatemala,M,40,5,0,2,1,1,0,0
15755,484,Escuintla,F,35,7,350,1,1,1,1,0
15645,510,Guatemala,F,30,0,83.01,2,1,1,1,0
15790,606,Quetzaltenango,M,36,5,83.01,2,0,0,1,0
15762,597,Escuintla,F,40,8,0.06,1,0,1,0,0
15625,754,Quetzaltenango,F,55,3,249.97,1,1,0,0,1
15716,850,Escuintla,F,45,2,308.26,1,1,1,1,0
15789,510,Guatemala,M,65,2,308.26,2,1,1,1,0
15621,778,Quetzaltenango,F,45,1,185.01,2,1,0,1,0
15810,636,Guatemala,M,42,2,299,2,1,1,1,0
15719,804,Guatemala,F,50,4,331.11,1,1,1,1,1
15654,514,Guatemala,M,32,8,0,2,1,0,0,0
15771,730,Guatemala,F,39,1,3119.99,1,1,0,1,0
15708,525,Escuintla,F,37,0,358.98,1,0,1,1,0
15726,616,Escuintla,M,30,5,2298.28,2,0,1,1,0
15587,687,Quetzaltenango,F,34,7,0,2,1,0,1,0
15726,715,Guatemala,F,41,8,299,2,0,0,1,1
15771,512,Guatemala,F,36,3,399.97,2,1,0,0,0
15756,479,Guatemala,M,40,1,83.01,2,0,0,1,0
15702,601,Guatemala,M,32,8,83.01,1,1,0,1,0
15679,580,Escuintla,M,29,9,0,2,1,0,1,0
15594,807,Guatemala,M,35,3,325.01,1,1,1,1,0
15635,616,Escuintla,F,32,6,83.01,2,1,1,1,0
15777,721,Quetzaltenango,M,37,3,83.01,1,1,1,1,0
15656,501,Guatemala,M,57,10,137.51,2,1,1,1,0
15811,521,Guatemala,M,35,6,298.08,1,1,0,1,0
15604,850,Escuintla,M,30,2,0,1,1,1,0,0
15622,759,Guatemala,M,42,4,450,1,0,1,1,0
15600,516,Escuintla,M,50,5,0,1,0,1,1,1
15727,711,Guatemala,F,38,2,0,2,1,1,1,1
15627,512,Escuintla,M,33,3,1918.75,1,1,0,1,0
15773,550,Guatemala,M,37,3,350,1,1,1,1,0
15755,608,Escuintla,F,41,3,185.01,1,0,0,1,1
15679,618,Guatemala,M,34,5,350,1,1,1,1,0
15684,643,Guatemala,M,45,5,300,1,1,0,1,1
15612,671,Guatemala,M,45,2,0.09,1,0,1,0,0
15752,689,Quetzaltenango,M,33,2,0,2,1,0,1,0
15624,603,Guatemala,M,31,8,99,2,1,1,1,0
15573,620,Guatemala,F,41,9,249.99,2,0,0,0,0
15594,676,Guatemala,F,34,1,298.13,1,1,1,1,0
15785,572,Quetzaltenango,M,26,4,83.01,2,0,0,1,0
15723,668,Quetzaltenango,M,47,7,649.67,1,0,1,1,1
15680,695,Guatemala,M,46,7,48.51,1,1,0,1,0
15786,730,Escuintla,F,33,9,275,2,0,0,1,0
15659,807,Guatemala,M,43,1,101,2,1,0,1,1
15774,592,Guatemala,M,54,8,0,1,1,1,0,1
15725,726,Guatemala,F,31,9,0,2,1,1,1,0
15787,514,Escuintla,M,30,7,225,1,0,1,0,0
15727,567,Guatemala,M,42,2,0,2,1,1,1,0
15733,850,Guatemala,M,33,10,0,1,1,0,1,1
15568,671,Quetzaltenango,M,45,6,83.01,1,1,1,1,1
15699,670,Guatemala,M,37,4,0,2,1,0,1,0
15774,694,Guatemala,F,30,9,0,2,1,1,1,0
15676,547,Quetzaltenango,F,39,6,350,3,1,1,0,1
15637,751,Quetzaltenango,M,50,2,0,1,1,0,0,1
15605,594,Quetzaltenango,F,29,3,349.97,1,1,0,0,0
15808,673,Guatemala,M,72,1,185.01,2,0,1,1,0
15627,610,Guatemala,M,40,0,0,2,1,0,1,0
15787,512,Guatemala,F,37,1,0,2,0,1,1,0
15723,767,Quetzaltenango,M,20,3,601.25,2,0,1,1,0
15704,585,Guatemala,F,67,5,29.38,2,0,1,1,0
15772,763,Quetzaltenango,M,42,6,0,1,1,0,1,1
15711,712,Guatemala,F,29,2,299,1,1,1,1,0
15764,539,Quetzaltenango,F,43,3,83.01,3,1,0,1,1
15794,668,Guatemala,F,46,2,0,3,1,0,0,1
15795,703,Guatemala,M,28,2,83.01,2,0,1,1,0
15812,662,Escuintla,M,38,4,67.05,2,1,0,1,0
15651,725,Quetzaltenango,F,39,5,149,1,1,0,1,0
15813,703,Guatemala,M,37,8,308.26,2,0,1,1,0
15596,659,Quetzaltenango,M,67,6,499.97,1,1,1,0,1
15576,523,Escuintla,M,34,7,99,2,1,0,1,0
15797,635,Guatemala,F,40,10,308.26,1,1,0,1,1
15685,772,Quetzaltenango,M,26,7,339.99,2,1,0,1,0
15599,545,Guatemala,F,26,1,1213.32,2,1,1,1,0
15657,634,Quetzaltenango,M,24,8,0,1,1,1,0,0
15772,739,Quetzaltenango,M,54,8,49.51,1,1,0,1,1
15628,771,Quetzaltenango,F,36,5,225,1,0,0,0,0
15753,587,Escuintla,F,34,1,0,2,1,1,0,0
15793,681,Guatemala,F,79,0,99,2,0,1,1,0
15694,544,Quetzaltenango,M,37,2,83.01,1,1,1,1,0
15665,696,Escuintla,M,28,8,300,1,0,0,1,0
15765,766,Escuintla,M,41,0,0,2,0,1,1,0
15636,727,Guatemala,M,34,10,0,2,1,1,1,0
15592,671,Quetzaltenango,F,34,6,299,2,0,0,1,0
15750,693,Guatemala,F,30,6,83.01,1,1,1,1,0
15607,850,Quetzaltenango,M,38,3,185.01,1,1,1,1,0
15713,732,Quetzaltenango,M,42,9,83.01,2,1,1,1,0
15673,726,Escuintla,F,48,6,0,1,1,0,0,0
15686,557,Guatemala,F,32,6,529.81,2,1,0,1,0
15673,682,Guatemala,F,26,0,0,1,0,1,0,0
15700,738,Escuintla,M,31,9,99,1,1,1,1,0
15813,531,Escuintla,F,36,9,0,1,1,0,1,0
15653,498,Guatemala,M,34,2,249.99,2,1,1,0,0
15777,651,Guatemala,M,36,7,298,2,1,0,1,0
15717,549,Escuintla,F,39,7,508.88,1,0,0,1,1
15799,791,Quetzaltenango,F,35,7,399.97,1,1,0,0,0
15787,650,Escuintla,M,41,9,48.51,2,0,1,1,0
15619,733,Quetzaltenango,M,34,3,234,3,1,0,0,1
15796,811,Quetzaltenango,F,34,1,0,2,1,1,1,0
15725,707,Guatemala,M,30,8,308.26,2,1,0,1,0
15800,712,Quetzaltenango,M,28,4,758.51,1,0,1,1,0
15758,706,Escuintla,F,37,7,330.13,2,1,1,1,0
15694,756,Guatemala,M,62,3,234,1,1,1,0,1
15767,777,Guatemala,F,53,10,0,2,1,0,0,0
15683,646,Guatemala,M,35,6,275,1,0,1,1,0
15782,714,Guatemala,M,46,1,298.4,1,1,0,1,1
15668,782,Guatemala,M,39,8,350,2,1,1,1,0
15669,775,Escuintla,M,29,10,199.99,2,1,1,0,0
15643,479,Quetzaltenango,M,35,4,149.67,1,1,1,1,1
15699,807,Guatemala,M,42,7,301.83,1,1,1,1,0
15708,799,Guatemala,F,22,8,299,2,0,1,1,0
15626,675,Guatemala,M,40,7,225,2,1,0,0,0
15573,602,Escuintla,M,29,5,83.01,1,1,0,1,0
15790,475,Guatemala,F,32,8,298,1,1,0,1,0
15727,744,Escuintla,F,26,5,480.4,1,1,1,1,0
15697,588,Escuintla,M,34,10,83.01,2,1,0,1,0
15652,703,Quetzaltenango,M,42,9,0,1,0,1,0,0
15607,747,Escuintla,F,41,5,349.67,2,1,0,1,0
15655,583,Guatemala,M,27,7,83.01,2,1,0,1,0
15590,750,Escuintla,F,34,9,100.67,1,0,0,1,1
15785,681,Guatemala,M,38,3,0,2,1,1,0,0
15723,773,Guatemala,M,25,2,83.01,1,1,0,1,0
15774,714,Guatemala,F,31,4,0,1,1,1,1,0
15684,687,Escuintla,F,44,7,0,3,1,0,0,1
15650,511,Guatemala,M,58,0,234,1,1,1,0,0
15811,627,Guatemala,M,33,5,0,2,1,1,1,0
15803,694,Guatemala,F,31,10,1041.45,2,1,0,1,0
15682,616,Escuintla,F,36,6,83.01,1,0,0,1,0
15695,687,Guatemala,M,35,8,83.01,2,1,0,1,0
15624,712,Guatemala,F,33,6,274.97,2,1,1,0,0
15812,553,Guatemala,M,33,4,274.99,1,0,0,0,0
15636,667,Guatemala,M,31,1,184.01,1,1,1,1,0
15594,731,Guatemala,M,43,2,1213.32,1,1,1,1,1
15660,629,Quetzaltenango,M,35,7,0.02,2,1,0,1,0
15773,614,Guatemala,M,50,4,298,1,1,0,1,1
15746,438,Quetzaltenango,M,31,8,0,1,1,0,1,0
15712,652,Guatemala,F,80,4,149,2,1,1,1,0
15702,729,Quetzaltenango,M,30,6,234,1,1,0,0,0
15674,642,Guatemala,M,38,3,74.51,2,0,0,1,0
15797,806,Quetzaltenango,F,59,0,298,1,1,0,1,0
15631,744,Escuintla,M,36,2,149,1,1,1,1,0
15581,474,Escuintla,M,37,3,0,2,0,0,1,0
15662,559,Guatemala,M,49,2,99.97,1,1,0,0,1
15666,706,Escuintla,M,42,9,0,2,1,1,0,0
15677,628,Escuintla,F,22,3,0,1,1,0,0,0
15626,429,Guatemala,M,24,4,0,1,1,0,0,0
15810,525,Escuintla,F,57,2,83.01,1,1,1,1,0
15678,680,Guatemala,F,30,8,83.01,1,1,1,1,0
15694,749,Guatemala,M,40,1,83.01,1,1,0,1,1
15585,763,Guatemala,F,31,4,0,2,0,0,1,0
15682,734,Guatemala,M,30,3,275,2,1,0,1,0
15736,716,Guatemala,M,35,4,298.4,1,1,0,1,0
15601,594,Guatemala,M,35,2,499.97,2,1,0,0,0
15736,644,Guatemala,F,46,9,0,1,1,0,0,1
15669,671,Quetzaltenango,M,35,1,225,1,1,1,0,0
15624,664,Quetzaltenango,M,26,7,299.71,2,1,1,1,0
15598,656,Guatemala,M,50,7,299,2,0,1,1,0
15601,667,Escuintla,F,40,1,308.26,1,1,0,1,0
15702,663,Quetzaltenango,M,44,2,299,2,0,1,1,0
15728,584,Quetzaltenango,F,30,8,83.01,1,1,0,1,1
15742,626,Escuintla,F,37,6,308.26,1,1,0,1,0
15697,485,Guatemala,M,29,7,0,1,1,0,1,1
15740,659,Quetzaltenango,F,32,3,83.01,2,0,1,1,0
15648,649,Guatemala,M,33,2,0,2,1,0,1,0
15636,805,Escuintla,F,39,5,0,1,1,0,1,1
15807,716,Quetzaltenango,F,39,10,299,1,1,0,0,1
15745,642,Quetzaltenango,F,40,6,0,2,0,1,1,1
15786,659,Guatemala,M,31,4,275,1,0,0,1,0
15681,545,Escuintla,F,47,5,249.98,2,1,1,0,0
15684,543,Guatemala,M,22,8,0,2,0,0,1,0
15785,718,Guatemala,F,25,7,299,2,1,0,1,0
15763,840,Guatemala,F,43,7,0,2,1,0,1,0
15658,630,Quetzaltenango,F,34,9,149,2,1,0,1,0
15747,643,Quetzaltenango,M,59,3,600,1,1,1,1,0
15735,654,Quetzaltenango,F,32,1,149,1,1,1,1,0
15576,582,Guatemala,M,39,5,0,2,1,1,1,0
15659,659,Escuintla,M,32,3,99,2,1,1,1,0
15593,762,Escuintla,M,39,2,0,1,1,1,1,0
15777,568,Escuintla,F,32,7,308.26,1,1,0,1,0
15812,670,Escuintla,M,25,6,185.01,2,1,1,1,0
15625,613,Guatemala,F,45,1,0,2,1,1,1,0
15739,539,Guatemala,M,30,0,428.99,2,1,0,1,0
15611,850,Escuintla,F,57,8,300,2,1,1,1,0
15661,522,Escuintla,M,34,9,0,1,1,0,1,1
15633,737,Guatemala,M,41,1,83.01,1,1,1,1,0
15592,520,Guatemala,M,58,3,225,2,0,1,0,0
15803,706,Escuintla,M,28,3,149,2,0,1,1,0
15696,643,Quetzaltenango,F,45,2,1041.45,1,0,1,1,1
15706,648,Guatemala,F,50,9,0,1,1,1,1,0
15745,443,Quetzaltenango,F,29,9,83.01,2,1,0,1,0
15676,640,Guatemala,M,68,9,83.01,2,1,1,1,0
15613,628,Escuintla,F,33,3,209.65,1,1,1,1,0
15633,540,Quetzaltenango,F,42,9,298.4,2,1,0,1,0
15594,460,Quetzaltenango,F,35,8,0,2,1,1,1,0
15684,636,Quetzaltenango,M,34,2,0,2,0,1,1,0
15583,593,Guatemala,F,29,2,48.51,1,1,0,1,0
15611,801,Escuintla,M,42,4,308.26,1,1,1,1,0
15774,640,Quetzaltenango,F,75,1,226,2,0,1,0,0
15694,611,Quetzaltenango,M,31,0,0,2,1,1,0,0
15688,802,Quetzaltenango,M,31,1,234,1,1,1,0,0
15759,717,Quetzaltenango,M,35,7,0,2,1,1,1,0
15758,769,Guatemala,F,39,8,149,1,0,1,1,0
15583,745,Quetzaltenango,M,45,10,308.26,3,1,1,1,1
15667,572,Escuintla,M,35,4,185.01,1,1,0,1,0
15677,629,Escuintla,F,30,2,234,1,1,0,0,0
15629,687,Escuintla,F,39,2,1,3,0,0,0,1
15713,483,Guatemala,F,50,9,229.4,2,1,1,1,0
15591,690,Guatemala,M,36,7,2,2,1,0,1,0
15568,492,Quetzaltenango,F,30,10,48.51,2,0,1,1,0
15622,709,Quetzaltenango,M,28,8,83.01,2,1,0,1,0
15689,705,Quetzaltenango,M,44,3,83.01,1,1,0,1,0
15720,560,Guatemala,F,66,9,83.01,1,1,1,1,0
15721,611,Escuintla,M,46,6,450,2,1,0,0,0
15776,730,Escuintla,M,62,2,149,2,1,1,1,0
15748,709,Escuintla,F,45,2,0,2,0,1,0,0
15717,544,Guatemala,F,21,10,83.01,2,1,0,1,0
15685,712,Quetzaltenango,F,29,7,99,1,1,1,1,0
15785,752,Quetzaltenango,M,38,3,185.01,1,1,1,1,0
15573,648,Escuintla,M,46,9,298,2,1,0,1,1
15684,556,Escuintla,M,38,8,670.11,2,0,0,1,1
15620,594,Escuintla,F,24,0,0,1,1,1,0,0
15807,645,Quetzaltenango,F,37,2,99,2,0,1,1,0
15584,557,Guatemala,M,33,3,249.99,1,1,1,0,0
15612,547,Quetzaltenango,M,32,8,298.01,1,1,0,1,0
15762,701,Guatemala,F,39,9,83.01,2,0,1,1,0
15646,616,Guatemala,F,66,1,83.01,1,1,0,1,1
15690,605,Guatemala,M,52,1,199.97,1,1,0,0,0
15747,593,Quetzaltenango,F,38,4,0,1,1,1,0,0
15781,751,Escuintla,M,52,8,99,2,0,1,1,0
15732,443,Escuintla,M,36,6,83.01,2,0,1,1,0
15642,685,Guatemala,M,23,8,399.97,2,1,1,0,0
15692,718,Guatemala,M,36,9,687.76,1,1,0,1,0
15578,538,Escuintla,F,49,9,0,1,0,0,1,1
15745,611,Escuintla,F,37,4,83.01,2,1,0,1,0
15701,668,Quetzaltenango,M,37,10,149,2,1,1,1,0
15691,537,Quetzaltenango,F,41,3,48.51,1,1,0,1,0
15566,709,Escuintla,M,23,10,298,2,0,0,1,0
15760,850,Guatemala,M,38,1,83.01,2,1,1,1,0
15686,745,Escuintla,F,31,3,230,1,1,1,0,0
15801,693,Quetzaltenango,F,41,9,0,3,1,1,1,1
15810,795,Escuintla,M,35,8,83.01,2,1,0,1,0
15809,626,Escuintla,M,26,8,83.01,2,0,0,1,0
15720,487,Quetzaltenango,F,61,5,527,1,0,0,0,1
15695,556,Guatemala,F,39,9,1695,1,1,1,1,0
15659,643,Guatemala,F,46,6,149,2,0,0,1,0
15615,605,Guatemala,F,28,6,0,2,0,0,1,0
15810,756,Quetzaltenango,F,60,3,0,1,1,0,0,1
15716,586,Guatemala,F,38,2,299,2,1,0,1,0
15674,535,Quetzaltenango,M,40,7,0,1,1,0,1,1
15622,678,Guatemala,F,35,4,0,1,1,0,1,0
15566,596,Guatemala,M,39,9,0,1,1,0,1,0
15784,648,Guatemala,M,26,9,0,1,1,0,1,0
15652,492,Quetzaltenango,M,39,10,2,2,1,0,1,0
15806,702,Guatemala,M,45,0,2,1,1,1,1,0
15576,486,Quetzaltenango,F,40,9,2,1,1,0,1,0
15806,568,Quetzaltenango,M,40,1,60.99,1,0,0,1,1
15597,619,Quetzaltenango,M,57,3,0,1,1,1,1,1
15743,724,Quetzaltenango,M,41,2,0,2,0,1,1,0
15705,548,Quetzaltenango,F,33,0,249.97,1,1,0,0,0
15595,545,Quetzaltenango,F,37,8,0,1,1,0,1,1
15799,683,Guatemala,M,33,8,176.5,1,0,0,0,0
15581,762,Guatemala,F,51,3,0,1,0,1,1,0
15693,627,Quetzaltenango,F,30,4,0,2,1,0,1,0
15624,516,Guatemala,M,35,10,0,2,0,0,1,0
15783,800,Guatemala,F,38,2,264.25,2,1,0,1,0
15690,464,Quetzaltenango,F,42,3,299.34,1,1,1,1,0
15782,626,Guatemala,F,35,3,0,1,0,0,1,0
15611,790,Guatemala,F,31,9,176.5,2,1,0,0,0
15672,534,Guatemala,F,34,7,159.64,2,1,1,1,0
15732,745,Guatemala,M,46,2,0,1,1,1,0,0
15787,553,Escuintla,M,47,3,225,1,0,0,0,1
15803,748,Guatemala,F,26,1,0,1,0,1,1,0
15730,722,Guatemala,M,37,2,0,1,0,0,1,0
15644,501,Guatemala,M,40,4,0,1,1,1,1,0
